Id,Label,timeset,componentnumber,modularity_class
731,731,,0,9
732,732,,0,16
733,733,,0,13
734,734,,0,15
735,735,,0,15
736,736,,0,8
737,737,,0,4
738,738,,0,8
739,739,,0,22
740,740,,0,4
741,741,,0,9
742,742,,0,9
743,743,,0,17
744,744,,0,9
745,745,,0,9
746,746,,0,13
747,747,,0,16
748,748,,0,9
749,749,,0,16
750,750,,0,15
751,751,,0,8
752,752,,0,4
753,753,,0,13
754,754,,0,2
755,755,,0,2
756,756,,0,2
757,757,,0,17
758,758,,0,9
759,759,,0,2
760,760,,0,17
761,761,,0,4
762,762,,0,8
763,763,,0,17
764,764,,0,5
765,765,,0,9
766,766,,0,30
767,767,,0,17
768,768,,0,15
769,769,,0,8
770,770,,0,17
771,771,,0,9
772,772,,0,15
773,773,,0,8
774,774,,0,9
775,775,,0,9
776,776,,0,9
777,777,,0,15
778,778,,0,22
779,779,,0,8
780,780,,0,22
781,781,,0,15
782,782,,0,15
783,783,,0,29
784,784,,0,15
785,785,,0,22
786,786,,0,9
787,787,,0,2
788,788,,0,2
789,789,,19,0
790,790,,20,0
791,791,,0,13
792,792,,0,22
793,793,,0,29
794,794,,0,2
795,795,,0,17
796,796,,0,13
797,797,,0,22
798,798,,0,15
799,799,,0,15
800,800,,0,9
801,801,,0,26
802,802,,0,2
803,803,,0,5
804,804,,0,2
805,805,,0,2
806,806,,0,8
807,807,,0,8
808,808,,0,4
809,809,,0,15
810,810,,0,5
811,811,,0,8
812,812,,0,5
813,813,,0,13
814,814,,0,11
815,815,,0,9
816,816,,0,21
817,817,,0,4
818,818,,0,29
819,819,,0,5
820,820,,0,9
821,821,,0,16
822,822,,0,5
823,823,,0,13
824,824,,0,4
825,825,,0,22
826,826,,0,27
827,827,,21,0
828,828,,0,9
829,829,,0,16
830,830,,0,16
831,831,,0,22
832,832,,0,2
833,833,,0,9
834,834,,0,13
835,835,,0,26
836,836,,0,9
837,837,,0,8
838,838,,0,13
839,839,,0,14
840,840,,0,29
841,841,,0,22
842,842,,0,16
843,843,,0,8
844,844,,0,16
845,845,,22,0
846,846,,0,22
847,847,,0,22
848,848,,0,5
849,849,,0,29
850,850,,0,21
851,851,,0,21
852,852,,0,4
853,853,,0,16
854,854,,0,9
855,855,,0,15
856,856,,0,2
857,857,,0,9
858,858,,0,22
859,859,,0,2
860,860,,0,15
861,861,,0,17
862,862,,0,4
863,863,,0,13
864,864,,0,8
865,865,,0,9
866,866,,0,22
867,867,,0,13
868,868,,0,2
869,869,,0,4
870,870,,0,9
871,871,,0,29
872,872,,0,22
873,873,,0,13
874,874,,0,21
875,875,,0,16
876,876,,0,13
877,877,,0,15
878,878,,0,5
879,879,,0,8
880,880,,0,5
881,881,,0,17
882,882,,0,4
883,883,,0,17
884,884,,0,9
885,885,,0,2
886,886,,0,21
887,887,,0,16
888,888,,0,29
889,889,,0,8
890,890,,0,13
891,891,,0,9
892,892,,0,8
893,893,,0,9
894,894,,0,15
895,895,,0,8
896,896,,0,2
897,897,,0,13
898,898,,0,13
899,899,,0,2
900,900,,0,15
901,901,,0,15
902,902,,0,13
903,903,,0,15
904,904,,0,5
905,905,,0,4
906,906,,0,15
907,907,,0,4
908,908,,0,15
909,909,,0,2
910,910,,0,22
911,911,,0,2
912,912,,0,5
913,913,,0,16
914,914,,0,5
915,915,,0,29
916,916,,0,9
917,917,,0,9
918,918,,0,9
919,919,,0,22
920,920,,0,17
921,921,,23,0
922,922,,0,8
923,923,,0,5
924,924,,0,19
925,925,,0,22
926,926,,0,2
927,927,,0,9
928,928,,0,29
929,929,,0,21
930,930,,0,16
931,931,,0,29
932,932,,0,5
933,933,,0,16
934,934,,0,15
935,935,,0,13
936,936,,0,17
937,937,,0,17
938,938,,0,13
939,939,,0,15
940,940,,0,26
941,941,,0,8
942,942,,24,0
943,943,,0,13
944,944,,0,8
945,945,,0,5
946,946,,0,9
947,947,,0,22
948,948,,0,9
949,949,,0,9
950,950,,0,9
951,951,,0,22
952,952,,0,15
953,953,,0,17
954,954,,0,15
955,955,,0,16
956,956,,0,2
957,957,,0,16
958,958,,0,29
959,959,,0,9
960,960,,25,0
961,961,,0,17
962,962,,0,9
963,963,,0,15
964,964,,0,21
965,965,,0,13
966,966,,0,15
967,967,,0,30
968,968,,0,4
969,969,,0,15
970,970,,0,15
971,971,,0,15
972,972,,0,29
973,973,,0,22
974,974,,0,2
975,975,,0,22
976,976,,0,17
977,977,,0,15
978,978,,0,5
979,979,,0,9
980,980,,0,21
981,981,,0,8
982,982,,0,9
983,983,,0,16
