,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
737,737,11.0,0.6447916626930237,"[(11, 0.64479166), (12, 0.0258394), (13, 0.080275685), (19, 0.17969039), (21, 0.010082568), (28, 0.0444651)]"
738,738,12.0,0.4391302764415741,"[(5, 0.021559274), (9, 0.018723905), (10, 0.42012063), (12, 0.43913025), (14, 0.07912881), (27, 0.0141210295)]"
739,739,22.0,0.5310999155044556,"[(1, 0.021250876), (3, 0.035609625), (4, 0.07236768), (6, 0.011264037), (8, 0.013186878), (20, 0.12787396), (22, 0.5310999), (25, 0.059855793), (28, 0.11461894)]"
740,740,7.0,0.3988293409347534,"[(2, 0.18614979), (7, 0.39882934), (12, 0.22767814), (14, 0.013209457), (28, 0.16357976)]"
741,741,13.0,0.49868860840797424,"[(7, 0.016072368), (8, 0.24772564), (10, 0.019597713), (13, 0.4986886), (16, 0.07256439), (18, 0.13615213)]"
742,742,6.0,0.6146508455276489,"[(6, 0.61465085), (18, 0.013492097), (19, 0.2380962), (20, 0.12565179)]"
743,743,2.0,0.6599979996681213,"[(2, 0.659998), (4, 0.042920876), (15, 0.035856932), (23, 0.035725255), (28, 0.21824548)]"
744,744,8.0,0.28238445520401,"[(3, 0.028740706), (8, 0.28238446), (12, 0.10287442), (13, 0.21693058), (17, 0.13167828), (18, 0.23060043)]"
745,745,2.0,0.4561209976673126,"[(2, 0.456121), (11, 0.042293996), (12, 0.015603962), (19, 0.17975722), (22, 0.09018435), (27, 0.14919876), (28, 0.05951735)]"
746,746,24.0,0.8280344605445862,"[(15, 0.012059325), (21, 0.016462756), (23, 0.13391134), (24, 0.82803446)]"
747,747,4.0,0.2550450563430786,"[(1, 0.15670365), (2, 0.047353268), (3, 0.011932574), (4, 0.25504506), (5, 0.13327989), (6, 0.08633081), (10, 0.061748404), (11, 0.016014775), (14, 0.01349457), (16, 0.109979644), (25, 0.021754166), (27, 0.020065932), (28, 0.0601236)]"
748,748,29.0,0.3819769024848938,"[(1, 0.12976722), (3, 0.014040537), (4, 0.04411952), (8, 0.21259768), (9, 0.010281054), (13, 0.19175471), (29, 0.3819769)]"
749,749,8.0,0.5665979981422424,"[(1, 0.23101608), (8, 0.566598), (12, 0.031027574), (17, 0.028069055), (20, 0.110216536), (29, 0.02656408)]"
750,750,6.0,0.5206559896469116,"[(6, 0.520656), (8, 0.4543164), (27, 0.017766027)]"
751,751,16.0,0.5180452466011047,"[(1, 0.068124466), (3, 0.023946295), (7, 0.032128464), (9, 0.03222317), (16, 0.51804525), (29, 0.3161104)]"
752,752,23.0,0.9827321767807007,"[(23, 0.98273224)]"
753,753,23.0,0.4651264548301697,"[(9, 0.07612217), (13, 0.019747684), (16, 0.07490703), (18, 0.10483043), (20, 0.24782257), (23, 0.46512645)]"
754,754,16.0,0.4773700535297394,"[(3, 0.23144339), (9, 0.033174567), (16, 0.47737008), (20, 0.07973304), (23, 0.17001952)]"
755,755,16.0,0.5665772557258606,"[(9, 0.02359789), (16, 0.56657726), (20, 0.040597133), (29, 0.3557886)]"
756,756,10.0,0.660321831703186,"[(3, 0.019218434), (5, 0.05420154), (7, 0.037872702), (9, 0.01247232), (10, 0.66032183), (26, 0.1827156), (27, 0.02566651)]"
757,757,29.0,0.9912882447242737,"[(29, 0.9912882)]"
758,758,27.0,0.34959709644317627,"[(0, 0.09547259), (1, 0.22417215), (2, 0.034047384), (7, 0.20241223), (12, 0.03611709), (18, 0.03238515), (26, 0.014995417), (27, 0.3495971)]"
759,759,29.0,0.2574440538883209,"[(1, 0.12775433), (3, 0.02569178), (4, 0.035954237), (8, 0.12714015), (12, 0.16550328), (17, 0.0963709), (20, 0.15190856), (29, 0.25744405)]"
760,760,18.0,0.3248908221721649,"[(8, 0.011066205), (13, 0.11280985), (14, 0.03183855), (16, 0.307152), (18, 0.32489082), (19, 0.013707878), (20, 0.10903561), (23, 0.0823692)]"
761,761,11.0,0.4204046428203583,"[(2, 0.16067734), (11, 0.42040464), (19, 0.3088147), (24, 0.102932155)]"
762,762,11.0,0.9898191094398499,"[(11, 0.9898191)]"
763,763,28.0,0.6481680870056152,"[(0, 0.05800565), (4, 0.079853125), (8, 0.052354682), (11, 0.026800714), (12, 0.029468166), (14, 0.021063717), (16, 0.03579346), (19, 0.015556354), (28, 0.6481681)]"
764,764,15.0,0.3237638473510742,"[(15, 0.32376385), (17, 0.24651934), (24, 0.3156339), (26, 0.012064213), (27, 0.08093112)]"
765,765,22.0,0.34277793765068054,"[(6, 0.08298765), (15, 0.111879684), (17, 0.13396183), (18, 0.1965373), (22, 0.34277794), (24, 0.04597251), (26, 0.012862378), (27, 0.050126843), (28, 0.01902363)]"
766,766,11.0,0.2266373336315155,"[(0, 0.18427482), (5, 0.17144278), (9, 0.11167838), (11, 0.22663735), (12, 0.20649964), (23, 0.019345), (26, 0.03590386), (29, 0.03765822)]"
767,767,5.0,0.6326088309288025,"[(5, 0.63260883), (16, 0.059548378), (25, 0.047371183), (28, 0.24935016)]"
768,768,5.0,0.3213406801223755,"[(4, 0.06785945), (5, 0.32134068), (10, 0.030715331), (13, 0.09834115), (14, 0.0278357), (17, 0.16927351), (27, 0.1011603), (28, 0.1748304)]"
769,769,28.0,0.7713596820831299,"[(0, 0.12595227), (14, 0.039208144), (15, 0.05631333), (28, 0.7713597)]"
770,770,14.0,0.5437276363372803,"[(4, 0.0524518), (11, 0.034772526), (14, 0.54372764), (21, 0.27724555), (22, 0.03666963), (24, 0.033317257)]"
771,771,6.0,0.3102979362010956,"[(1, 0.18561538), (3, 0.28107893), (6, 0.31029794), (15, 0.04539391), (16, 0.118889034), (25, 0.035372775), (26, 0.013634645)]"
772,772,6.0,0.5755182504653931,"[(6, 0.57551825), (8, 0.17433624), (10, 0.06660935), (12, 0.042838946), (18, 0.024881514), (25, 0.075823806), (27, 0.030848144)]"
773,773,17.0,0.9650551080703735,"[(17, 0.9650551), (27, 0.028178167)]"
774,774,19.0,0.38858410716056824,"[(0, 0.21884611), (2, 0.13600032), (11, 0.14837106), (14, 0.04967081), (18, 0.035304304), (19, 0.3885841)]"
775,775,14.0,0.6133773326873779,"[(11, 0.11025887), (14, 0.61337733), (21, 0.16229934), (26, 0.10492482)]"
776,776,14.0,0.8339541554450989,"[(14, 0.83395416), (20, 0.011123176), (21, 0.068416126), (22, 0.06601233), (25, 0.011804423)]"
777,777,9.0,0.4800023138523102,"[(3, 0.18582706), (9, 0.4800023), (14, 0.20255534), (26, 0.039452046), (29, 0.068725005)]"
778,778,9.0,0.6494243144989014,"[(5, 0.015370997), (6, 0.1916801), (9, 0.6494243), (12, 0.056023564), (18, 0.035120662), (25, 0.043177873)]"
779,779,2.0,0.39881056547164917,"[(0, 0.09458002), (2, 0.39881057), (7, 0.052162766), (11, 0.173532), (14, 0.018154733), (20, 0.046024263), (21, 0.027788134), (28, 0.18128611)]"
780,780,1.0,0.6151849627494812,"[(1, 0.61518496), (28, 0.37746328)]"
781,781,14.0,0.6989218592643738,"[(11, 0.11176515), (14, 0.69892186), (15, 0.041829545), (24, 0.04140381), (26, 0.101731725)]"
782,782,20.0,0.4733659029006958,"[(1, 0.08294002), (10, 0.19927286), (19, 0.017429955), (20, 0.4733659), (25, 0.01597126), (26, 0.19904226)]"
783,783,13.0,0.3420175015926361,"[(1, 0.28525698), (13, 0.3420175), (16, 0.28985932), (20, 0.03749016), (22, 0.011700464), (29, 0.024772989)]"
784,784,14.0,0.3031279444694519,"[(1, 0.019304736), (8, 0.19733737), (13, 0.04509925), (14, 0.30312794), (16, 0.2805834), (20, 0.07995019), (27, 0.013507358), (29, 0.053742968)]"
785,785,17.0,0.9925042986869812,"[(17, 0.99250436)]"
786,786,29.0,0.5056673288345337,"[(2, 0.012811974), (20, 0.4691669), (29, 0.5056673)]"
787,787,4.0,0.8370476365089417,"[(4, 0.83704764), (16, 0.1517019)]"
788,788,20.0,0.46612608432769775,"[(5, 0.037819277), (13, 0.1298986), (16, 0.09567168), (19, 0.2616115), (20, 0.46612608)]"
789,789,25.0,0.38993409276008606,"[(1, 0.12791967), (11, 0.3394663), (25, 0.3899341), (27, 0.071480975), (28, 0.06212071)]"
790,790,19.0,0.6373680830001831,"[(0, 0.026002795), (6, 0.023433756), (11, 0.267111), (19, 0.6373681), (29, 0.014054506)]"
791,791,29.0,0.8224779963493347,"[(16, 0.16758822), (29, 0.822478)]"
792,792,2.0,0.660061240196228,"[(2, 0.66006124), (9, 0.019290531), (11, 0.15492015), (12, 0.013931613), (17, 0.011289378), (24, 0.016570987), (28, 0.10813623)]"
793,793,22.0,0.44227010011672974,"[(11, 0.12988965), (15, 0.10345156), (17, 0.017534787), (22, 0.4422701), (26, 0.30330628)]"
794,794,24.0,0.3719528913497925,"[(11, 0.1869937), (13, 0.13413908), (14, 0.12464871), (19, 0.0588469), (24, 0.3719529), (27, 0.046214744), (29, 0.06653527)]"
795,795,2.0,0.3457792103290558,"[(1, 0.02375927), (2, 0.3457792), (9, 0.051020898), (10, 0.18248723), (13, 0.13547146), (18, 0.08989826), (26, 0.14485759), (28, 0.021072878)]"
796,796,22.0,0.4421982765197754,"[(6, 0.10595128), (10, 0.10574616), (16, 0.07545443), (18, 0.055176567), (22, 0.44219828), (23, 0.050668105), (29, 0.1541302)]"
797,797,18.0,0.2712964415550232,"[(2, 0.14193226), (10, 0.10119382), (13, 0.23953906), (18, 0.27129644), (20, 0.07582316), (27, 0.09679298), (28, 0.05552435)]"
798,798,19.0,0.6003503203392029,"[(13, 0.04161086), (19, 0.6003503), (22, 0.17488071), (26, 0.0367012), (27, 0.13794652)]"
799,799,18.0,0.3549025356769562,"[(3, 0.0650156), (5, 0.22445506), (18, 0.35490254), (20, 0.12935778), (23, 0.01549413), (29, 0.19917014)]"
800,800,5.0,0.7919572591781616,"[(5, 0.79195726), (8, 0.020285368), (10, 0.17009014)]"
801,801,5.0,0.9492284655570984,"[(5, 0.94922847), (20, 0.038486023)]"
802,802,5.0,0.8968579173088074,"[(1, 0.09652011), (5, 0.8968579)]"
803,803,8.0,0.3057180643081665,"[(0, 0.04331563), (8, 0.30571806), (9, 0.023905093), (11, 0.17570937), (13, 0.085321136), (14, 0.023322439), (15, 0.025316684), (16, 0.1717188), (21, 0.024118477), (23, 0.053811476), (24, 0.060882956)]"
804,804,28.0,0.35300350189208984,"[(5, 0.09808875), (8, 0.075228155), (13, 0.3253079), (20, 0.13165465), (28, 0.3530035)]"
805,805,2.0,0.6491206884384155,"[(2, 0.6491207), (10, 0.061743207), (25, 0.027462466), (28, 0.24529901)]"
806,806,28.0,0.5309082865715027,"[(11, 0.056630947), (18, 0.38309544), (27, 0.012992368), (28, 0.5309083)]"
807,807,26.0,0.5728912353515625,"[(7, 0.25452948), (22, 0.02872474), (26, 0.57289124), (27, 0.12672263)]"
808,808,1.0,0.3133113980293274,"[(0, 0.13489272), (1, 0.3133114), (17, 0.010991616), (18, 0.04886684), (19, 0.05576511), (27, 0.1098842), (28, 0.25069645), (29, 0.068725735)]"
809,809,2.0,0.4942180812358856,"[(0, 0.015258914), (2, 0.49421808), (11, 0.1524704), (14, 0.02292569), (15, 0.02824188), (19, 0.28047934)]"
810,810,20.0,0.7840501070022583,"[(12, 0.07432829), (16, 0.13126986), (20, 0.7840501)]"
811,811,24.0,0.8740386962890625,"[(18, 0.10139406), (24, 0.87403864)]"
812,812,20.0,0.43114814162254333,"[(0, 0.09135872), (17, 0.012140428), (18, 0.18301928), (20, 0.43114814), (23, 0.032549508), (26, 0.24385281)]"
813,813,12.0,0.5082305669784546,"[(2, 0.36538622), (11, 0.06265873), (12, 0.50823057), (28, 0.0532588)]"
814,814,26.0,0.4866546094417572,"[(17, 0.4261121), (22, 0.07795088), (26, 0.48665464)]"
815,815,13.0,0.5929556488990784,"[(0, 0.3006851), (10, 0.029496888), (13, 0.59295565), (21, 0.061093323)]"
816,816,11.0,0.2597189247608185,"[(1, 0.2593785), (2, 0.09498893), (11, 0.25971892), (12, 0.06401212), (18, 0.03252335), (24, 0.02653369), (25, 0.07067725), (27, 0.031491317), (28, 0.049578473), (29, 0.10479971)]"
817,817,11.0,0.2609882950782776,"[(3, 0.015403259), (11, 0.2609883), (14, 0.04568471), (17, 0.18753654), (19, 0.073315926), (21, 0.10470718), (22, 0.17478901), (26, 0.05350732), (28, 0.0712504)]"
818,818,11.0,0.8863351941108704,"[(11, 0.88633513), (19, 0.098837934)]"
819,819,20.0,0.6804085969924927,"[(3, 0.020126246), (11, 0.018152505), (16, 0.049039714), (20, 0.6804086), (27, 0.07244403), (29, 0.15280132)]"
820,820,2.0,0.3560250997543335,"[(2, 0.3560251), (11, 0.27891847), (12, 0.2467581), (24, 0.094841175), (29, 0.014857272)]"
821,821,29.0,0.7216784954071045,"[(1, 0.04269541), (19, 0.17053917), (23, 0.039495558), (27, 0.018204791), (29, 0.7216785)]"
822,822,13.0,0.7040860652923584,"[(5, 0.10106595), (6, 0.022360481), (9, 0.026014786), (13, 0.70408607), (16, 0.09905894), (20, 0.03932213)]"
823,823,8.0,0.38150331377983093,"[(6, 0.061578933), (8, 0.3815033), (10, 0.22361143), (13, 0.101053454), (15, 0.014146939), (18, 0.20949496)]"
824,824,14.0,0.5437368154525757,"[(0, 0.05999977), (2, 0.07265356), (11, 0.036314648), (14, 0.5437368), (24, 0.049946643), (25, 0.23013481)]"
825,825,27.0,0.3466861844062805,"[(3, 0.014407243), (4, 0.08307225), (15, 0.1190967), (17, 0.19471295), (19, 0.0580346), (22, 0.17439575), (27, 0.34668618)]"
826,826,26.0,0.766991913318634,"[(0, 0.060009055), (10, 0.034530375), (26, 0.7669919), (28, 0.110460155)]"
827,827,3.0,0.3950512707233429,"[(1, 0.17377816), (3, 0.39505127), (4, 0.10499418), (11, 0.21992119), (13, 0.0130349975), (20, 0.0745887), (21, 0.011766611)]"
828,828,25.0,0.45523354411125183,"[(1, 0.04202058), (10, 0.017915487), (13, 0.032106183), (15, 0.1189576), (16, 0.07674694), (25, 0.4552335), (26, 0.1117398), (27, 0.037247546), (29, 0.098561205)]"
