,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
55,55,10.0,0.6311876773834229,"[(7, 0.3593842), (10, 0.6311877)]"
56,56,12.0,0.8912686109542847,"[(12, 0.8912686), (13, 0.10190419)]"
57,57,4.0,0.9897394180297852,"[(4, 0.9897394)]"
58,58,9.0,0.9911905527114868,"[(9, 0.99119055)]"
59,59,8.0,0.6935704946517944,"[(4, 0.29700413), (8, 0.6935705)]"
60,60,3.0,0.9387255907058716,"[(3, 0.9387256), (9, 0.047509674)]"
61,61,13.0,0.9900650382041931,"[(13, 0.99006504)]"
62,62,5.0,0.6101484894752502,"[(5, 0.6101485), (7, 0.19457781), (13, 0.18786258)]"
63,63,2.0,0.4856738746166229,"[(2, 0.48567387), (4, 0.07525215), (9, 0.082471624), (11, 0.22320086), (13, 0.12733498)]"
64,64,10.0,0.5593246221542358,"[(10, 0.5593246), (13, 0.43034878)]"
65,65,8.0,0.9925909638404846,"[(8, 0.99259096)]"
66,66,13.0,0.6183160543441772,"[(7, 0.37380117), (13, 0.61831605)]"
67,67,9.0,0.747246265411377,"[(2, 0.23753345), (9, 0.74724627)]"
68,68,1.0,0.9914329051971436,"[(1, 0.9914329)]"
69,69,5.0,0.577610194683075,"[(0, 0.025727), (2, 0.3867805), (5, 0.5776102)]"
70,70,2.0,0.9907560348510742,"[(2, 0.9907561)]"
71,71,11.0,0.448158323764801,"[(4, 0.269114), (5, 0.08007773), (7, 0.15987675), (10, 0.037895795), (11, 0.4481583)]"
72,72,4.0,0.4405801594257355,"[(1, 0.07957575), (4, 0.44058013), (5, 0.13557304), (7, 0.33783352)]"
73,73,12.0,0.836887776851654,"[(4, 0.15515372), (12, 0.8368878)]"
74,74,12.0,0.9907572865486145,"[(12, 0.9907573)]"
75,75,8.0,0.4970988631248474,"[(5, 0.49191535), (8, 0.49709883)]"
76,76,4.0,0.593585193157196,"[(3, 0.13573161), (4, 0.5935852), (11, 0.26427773)]"
77,77,3.0,0.8607385754585266,"[(3, 0.8607386), (13, 0.13436328)]"
78,78,12.0,0.9890146255493164,"[(12, 0.9890146)]"
79,79,12.0,0.5694800615310669,"[(8, 0.015592432), (9, 0.4073767), (12, 0.56948006)]"
80,80,11.0,0.5811289548873901,"[(3, 0.41470242), (11, 0.58112895)]"
81,81,13.0,0.9907530546188354,"[(13, 0.99075305)]"
82,82,9.0,0.9860613942146301,"[(9, 0.9860614)]"
83,83,10.0,0.9903764724731445,"[(10, 0.9903765)]"
84,84,13.0,0.34762123227119446,"[(2, 0.185032), (7, 0.21216692), (9, 0.24838412), (13, 0.34762123)]"
85,85,1.0,0.9911084175109863,"[(1, 0.99110836)]"
86,86,8.0,0.9931332468986511,"[(8, 0.99313325)]"
87,87,3.0,0.401317298412323,"[(2, 0.15526958), (3, 0.4013173), (10, 0.15243657), (14, 0.283485)]"
88,88,12.0,0.5839441418647766,"[(1, 0.3337235), (5, 0.07267773), (12, 0.58394414)]"
89,89,9.0,0.989509642124176,"[(9, 0.98950964)]"
90,90,0.0,0.9839031100273132,"[(0, 0.98390317)]"
91,91,7.0,0.9904740452766418,"[(7, 0.99047405)]"
92,92,3.0,0.5711865425109863,"[(3, 0.57118654), (12, 0.41245466)]"
93,93,8.0,0.9918100237846375,"[(8, 0.9918101)]"
94,94,12.0,0.9902737140655518,"[(12, 0.9902737)]"
95,95,12.0,0.9884752035140991,"[(12, 0.98847514)]"
96,96,12.0,0.5251982808113098,"[(9, 0.46010098), (12, 0.5251983)]"
97,97,9.0,0.9922840595245361,"[(9, 0.99228406)]"
98,98,4.0,0.6438106894493103,"[(4, 0.6438107), (11, 0.33884123)]"
99,99,9.0,0.979249894618988,"[(9, 0.9792499)]"
100,100,13.0,0.9841720461845398,"[(13, 0.98417205)]"
101,101,14.0,0.9928725361824036,"[(14, 0.99287254)]"
102,102,10.0,0.6830462217330933,"[(10, 0.6830462), (12, 0.30273923)]"
103,103,4.0,0.5345209836959839,"[(4, 0.534521), (5, 0.4466205)]"
104,104,14.0,0.973318874835968,"[(14, 0.9733189)]"
105,105,1.0,0.5986441969871521,"[(1, 0.5986442), (4, 0.14507489), (8, 0.22663979)]"
106,106,1.0,0.9827113747596741,"[(1, 0.9827114)]"
