,0
2907,4
2908,0
2909,24
2910,1
2911,6
2912,15
2913,24
2914,29
2915,8
2916,0
2917,27
2918,6
2919,0
2920,24
2921,6
2922,26
2923,4
2924,23
2925,1
2926,23
2927,2
2928,17
2929,27
2930,27
2931,15
2932,15
2933,19
2934,7
2935,17
2936,6
2937,15
2938,21
2939,14
2940,11
2941,28
2942,19
2943,25
2944,13
2945,21
2946,25
2947,3
2948,13
2949,20
2950,12
2951,25
2952,5
2953,8
2954,24
2955,0
2956,0
2957,4
2958,28
2959,25
2960,29
2961,27
2962,13
2963,5
2964,16
2965,24
2966,29
2967,0
2968,2
2969,24
2970,15
2971,17
2972,27
2973,27
2974,27
2975,27
2976,27
2977,27
2978,27
2979,27
2980,29
2981,16
2982,24
2983,24
2984,15
2985,29
2986,2
2987,15
2988,10
2989,8
2990,25
2991,14
2992,29
2993,7
2994,21
2995,0
2996,13
